id,question_id,wr_ans
151,51,Metaphor
152,51,Onomatopoeia
153,51,Personification
154,52,Hyperbole
155,52,Simile
156,52,Repetition
157,53,Simile
158,53,Hyperbole
159,53,Alliteration
160,54,Metaphor
161,54,Personification
162,54,Repetition
163,55,Metaphor
164,55,Onomatopoeia
165,55,Simile
166,56,Hyperbole
167,56,Metaphor
168,56,Alliteration
169,57,Alliteration
170,57,Simile
171,57,Personification
172,58,Metaphor
173,58,Hyperbole
174,58,Onomatopoeia
175,59,Alliteration
176,59,Personification
177,59,Simile
178,60,Onomatopoeia
179,60,Hyperbole
180,60,Repetition
