id,question,cor_answer,category_id
41,What is the value of x in the equation 2x + 3 = 11?,4,5
42,If f(x) = 3x - 5 what is f(4)?,7,5
43,What is the solution to the equation x² - 16 = 0?,4 or -4,5
44,Factor the expression x² + 5x + 6,(x + 2)(x + 3),5
45,What is the simplified form of (2x + 3x) - (x - 4)?,4x + 4,5
46,If a = 2 and b = -3 what is the value of ab - b²?,-15,5
47,What is the slope of the line y = -2x + 7?,-2,5
48,Expand the expression (x - 2)(x + 4),x² + 2x - 8,5
49,If 5(x - 2) = 15 what is the value of x?,5,5
50,What is the y-intercept of the line y = 3x + 6?,6,5
